Name;FRANCE CAC 40 - PRICE INDEX
03/05/1991;1832.31
06/05/1991;1828.77
07/05/1991;1830.18
08/05/1991;1830.18
09/05/1991;1830.18
10/05/1991;1850.27
13/05/1991;1834.45
14/05/1991;1805.57
15/05/1991;1802.63
16/05/1991;1826.31
17/05/1991;1826.96
20/05/1991;1826.96
21/05/1991;1833.09
22/05/1991;1831.13
23/05/1991;1813.71
24/05/1991;1804.83
27/05/1991;1801.52
28/05/1991;1807.81
29/05/1991;1825.16
30/05/1991;1837.09
31/05/1991;1861.78
03/06/1991;1865.66
04/06/1991;1851.29
05/06/1991;1862.92
06/06/1991;1863.92
07/06/1991;1852.51
10/06/1991;1846.25
11/06/1991;1874.81
12/06/1991;1849.11
13/06/1991;1847.24
14/06/1991;1858.17
17/06/1991;1844.85
18/06/1991;1830.63
19/06/1991;1798.19
20/06/1991;1793.65
21/06/1991;1806.63
24/06/1991;1775.63
25/06/1991;1775.53
26/06/1991;1760.52
27/06/1991;1767.99
28/06/1991;1747.62
01/07/1991;1772.81
02/07/1991;1750.47
03/07/1991;1718.02
04/07/1991;1708.05
05/07/1991;1723.14
08/07/1991;1714.3
09/07/1991;1734.45
10/07/1991;1757.38
11/07/1991;1754.03
12/07/1991;1754.29
15/07/1991;1759.77
16/07/1991;1755.51
17/07/1991;1758.11
18/07/1991;1757.54
19/07/1991;1763.54
22/07/1991;1762.78
23/07/1991;1768.93
24/07/1991;1778.07
25/07/1991;1780.01
26/07/1991;1767.66
29/07/1991;1757.9
30/07/1991;1756.59
31/07/1991;1754.73
01/08/1991;1766.81
02/08/1991;1766.52
05/08/1991;1762.22
06/08/1991;1759.53
07/08/1991;1782.44
08/08/1991;1789.5
09/08/1991;1783.54
12/08/1991;1780.38
13/08/1991;1808.84
14/08/1991;1820.31
15/08/1991;1820.31
16/08/1991;1820.31
19/08/1991;1687.54
20/08/1991;1725.57
21/08/1991;1792.87
22/08/1991;1819.13
23/08/1991;1833.45
26/08/1991;1853.38
27/08/1991;1849.67
28/08/1991;1851.83
29/08/1991;1857.74
30/08/1991;1864.26
02/09/1991;1863.52
03/09/1991;1873.18
04/09/1991;1860.82
05/09/1991;1868.67
06/09/1991;1860.39
09/09/1991;1855.88
10/09/1991;1840.47
11/09/1991;1842.56
12/09/1991;1861.17
13/09/1991;1876.19
16/09/1991;1878.26
17/09/1991;1878.42
18/09/1991;1869.41
19/09/1991;1880.36
20/09/1991;1885.49
23/09/1991;1888.35
24/09/1991;1885.23
25/09/1991;1877.93
26/09/1991;1876.49
27/09/1991;1883.8
30/09/1991;1880.59
01/10/1991;1887.37
02/10/1991;1878.25
03/10/1991;1867.11
04/10/1991;1851.91
07/10/1991;1843.58
08/10/1991;1848.11
09/10/1991;1843.43
10/10/1991;1843.64
11/10/1991;1833.82
14/10/1991;1833.38
15/10/1991;1856.89
16/10/1991;1863.4
17/10/1991;1855.47
18/10/1991;1864.2
21/10/1991;1845.97
22/10/1991;1836.79
23/10/1991;1830.36
24/10/1991;1831.61
25/10/1991;1834.8
28/10/1991;1852.07
29/10/1991;1853.5
30/10/1991;1861.8
31/10/1991;1856.67
01/11/1991;1856.67
04/11/1991;1841.51
05/11/1991;1846.91
06/11/1991;1836.06
07/11/1991;1838.57
08/11/1991;1857.55
11/11/1991;1857.55
12/11/1991;1858.44
13/11/1991;1846.79
14/11/1991;1868.53
15/11/1991;1863.2
18/11/1991;1808.27
19/11/1991;1765.09
20/11/1991;1763.49
21/11/1991;1766.02
22/11/1991;1741.28
25/11/1991;1743.25
26/11/1991;1768.97
27/11/1991;1757.86
28/11/1991;1754.88
29/11/1991;1739.7
02/12/1991;1708.78
03/12/1991;1722.21
04/12/1991;1713.93
05/12/1991;1703.23
06/12/1991;1685.72
09/12/1991;1663.37
10/12/1991;1636.93
11/12/1991;1645.56
12/12/1991;1671.62
13/12/1991;1688.27
16/12/1991;1696.8
17/12/1991;1711.73
18/12/1991;1706.17
19/12/1991;1684.19
20/12/1991;1648.5
